"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score","science.score"
"306","male","group A","some college","standard","none",87.6,84.0963855421687,86.2222222222222,87.9012533308032
"307","male","group E","some college","standard","completed",99.6,93.7349397590361,91.5555555555556,91.1043547335425
"308","male","group C","some high school","standard","none",80.4,76.8674698795181,75.1111111111111,74.0745961476073
"309","female","group B","associate's degree","free/reduced","none",81.2,86.0240963855422,85.3333333333333,85.7507015031646
"310","female","group D","high school","free/reduced","none",79.6,79.2771084337349,78.6666666666667,93.9194963824595
"311","female","group B","associate's degree","standard","none",89.2,88.433734939759,91.1111111111111,66.0571254181478
"312","male","group B","bachelor's degree","standard","none",86.4,80.7228915662651,80.8888888888889,81.6538226825983
"313","male","group D","bachelor's degree","standard","completed",86.8,81.2048192771084,85.7777777777778,80.2041939931044
"314","female","group C","associate's degree","free/reduced","completed",87.2,84.0963855421687,86.2222222222222,75.9161680552602
"315","female","group C","bachelor's degree","standard","completed",83.6,82.6506024096386,88.8888888888889,86.0008904980075
"316","male","group C","high school","standard","none",88.4,83.6144578313253,84.4444444444444,82.8327338827691
"317","female","group D","master's degree","standard","completed",90.8,91.3253012048193,96,63.2263930360337
"318","male","group C","associate's degree","standard","none",93.2,86.5060240963855,90.2222222222222,82.3272830359486
"319","male","group B","bachelor's degree","standard","none",85.2,86.0240963855422,86.2222222222222,82.4897893007932
"320","female","group D","associate's degree","free/reduced","none",82.4,83.1325301204819,83.5555555555556,86.4967704315243
"321","female","group C","high school","free/reduced","completed",86.8,89.8795180722892,92.8888888888889,63.624531302386
"322","female","group E","high school","standard","none",90,93.2530120481928,90.6666666666667,59.5877417777363
"323","female","group C","some college","standard","none",88.4,90.8433734939759,91.1111111111111,64.5997501370628
"324","female","group C","some high school","free/reduced","none",77.2,77.3493975903614,79.1111111111111,98.1909825126988
"325","female","group C","high school","free/reduced","none",76.4,73.9759036144578,74.6666666666667,99.2199762704516
"326","female","group C","some college","standard","none",92.8,95.1807228915663,97.3333333333333,64.1346106553223
"327","male","group C","some college","standard","none",84.4,81.2048192771084,83.1111111111111,82.344874221594
"328","male","group A","some college","free/reduced","none",71.2,62.8915662650602,64,71.1200799249465
"329","male","group C","associate's degree","standard","completed",92.8,87.9518072289157,89.7777777777778,86.6969582806529
"330","female","group B","some high school","standard","none",76.4,78.3132530120482,78.2222222222222,93.3653554316563
"331","male","group C","high school","standard","none",88.4,80.7228915662651,82.6666666666667,89.7784253177384
"332","male","group C","associate's degree","standard","none",78.8,69.6385542168675,71.1111111111111,67.2984165540316
"333","male","group E","associate's degree","standard","completed",84.8,78.7951807228916,79.1111111111111,87.6868167612425
"334","male","group B","associate's degree","standard","none",96,89.3975903614458,91.5555555555556,90.9825933106981
"335","female","group C","bachelor's degree","standard","none",93.2,96.6265060240964,97.7777777777778,59.0935551797179
"336","female","group B","some college","free/reduced","none",84.4,84.5783132530121,84.8888888888889,81.6221499216356
"337","male","group D","some high school","standard","completed",90.4,85.5421686746988,86.2222222222222,82.1677051090606
"338","male","group C","associate's degree","standard","none",79.6,76.3855421686747,74.6666666666667,73.1025994577796
"339","female","group B","some high school","free/reduced","none",69.6,70.1204819277108,67.5555555555556,99.0842273773206
"340","female","group D","some high school","free/reduced","completed",74,78.3132530120482,82.2222222222222,95.9155229671833
"341","male","group C","high school","free/reduced","none",83.2,81.2048192771084,78.6666666666667,87.6083324395617
"342","female","group C","high school","standard","none",84.4,86.9879518072289,83.5555555555556,69.4833540005156
"343","female","group B","high school","standard","completed",87.6,88.433734939759,88.4444444444444,72.2048593919826
"344","male","group D","associate's degree","standard","completed",86.8,86.5060240963855,85.3333333333333,85.5039973928407
"345","male","group D","some college","standard","none",91.6,86.9879518072289,85.3333333333333,81.7610769701591
"346","female","group C","high school","standard","none",88.8,90.3614457831325,88.8888888888889,68.35918078028
"347","male","group B","some college","standard","none",84.8,81.2048192771084,80.8888888888889,75.9034124198634
"348","female","group C","bachelor's degree","standard","completed",90.8,97.1084337349398,97.7777777777778,62.8839171650746
"349","male","group D","high school","free/reduced","none",90,87.4698795180723,84.8888888888889,95.4466168411728
"350","male","group E","associate's degree","standard","none",94.8,87.4698795180723,89.3333333333333,82.3836910443129
"351","female","group B","bachelor's degree","standard","none",80.8,83.1325301204819,86.2222222222222,77.6753756373355
"352","male","group E","some college","standard","none",86.4,79.2771084337349,78.6666666666667,75.5415385032148
"353","female","group C","some college","standard","completed",85.2,89.3975903614458,91.1111111111111,72.22666528692
"354","female","group C","associate's degree","standard","none",78.4,79.7590361445783,80.8888888888889,90.9773125242338
"355","female","group C","some college","standard","none",83.6,86.0240963855422,86.6666666666667,78.7923253433629
"356","female","group B","bachelor's degree","standard","none",84.4,86.5060240963855,86.6666666666667,78.4738522583026
"357","male","group A","associate's degree","standard","none",85.2,81.2048192771084,82.6666666666667,91.0020971098695
"358","female","group C","some college","free/reduced","completed",76.8,83.6144578313253,86.2222222222222,82.6301084940665
"359","male","group D","some college","free/reduced","none",83.6,81.6867469879518,82.6666666666667,79.6815811638916
"360","female","group D","some college","standard","none",92,95.1807228915663,95.1111111111111,64.4736368824854
"361","female","group B","high school","standard","none",83.2,81.6867469879518,81.7777777777778,86.6382966806697
"362","male","group B","some high school","standard","completed",94,92.289156626506,90.2222222222222,93.534964233363
"363","female","group C","some college","standard","none",80.8,79.7590361445783,81.3333333333333,91.7385217746252
"364","female","group D","some high school","free/reduced","none",70.8,68.1927710843374,69.7777777777778,100
"365","male","group C","some college","standard","none",83.6,80.7228915662651,81.3333333333333,82.9725833485696
"366","male","group A","bachelor's degree","free/reduced","completed",79.6,79.7590361445783,82.2222222222222,79.4851946726189
"367","male","group C","high school","standard","completed",87.6,79.7590361445783,79.1111111111111,78.7310469357167
"368","male","group C","bachelor's degree","free/reduced","none",84.4,83.6144578313253,82.6666666666667,82.4448583403074
"369","female","group A","some high school","free/reduced","none",77.6,82.6506024096386,81.3333333333333,90.1850891498145
"370","female","group D","some high school","standard","none",89.2,92.289156626506,93.3333333333333,56.825838937683
"371","male","group E","some college","standard","none",93.6,88.9156626506024,87.1111111111111,86.2254043300527
"372","female","group C","some college","free/reduced","completed",78,86.9879518072289,86.6666666666667,76.1953686656755
"373","male","group D","some high school","standard","none",89.6,87.4698795180723,87.5555555555556,79.6040769842465
"374","female","group D","some college","standard","completed",92.8,98.5542168674699,98.2222222222222,70.4388778537563
"375","female","group D","bachelor's degree","standard","none",83.6,85.5421686746988,88,76.7454069323093
"376","male","group E","associate's degree","free/reduced","none",78.4,72.5301204819277,73.7777777777778,73.8783649561548
"377","female","group D","some high school","standard","none",92,95.1807228915663,92,60.8750201328772
"378","female","group D","master's degree","free/reduced","completed",94,97.5903614457831,100,60.2929512784057
"379","female","group A","some high school","standard","none",88.4,91.8072289156626,89.7777777777778,64.3824535286903
"380","male","group A","bachelor's degree","standard","none",86.4,82.6506024096386,83.1111111111111,82.924960333901
"381","female","group B","associate's degree","standard","none",92,93.2530120481928,92.4444444444444,67.2592453373726
"382","male","group C","associate's degree","standard","completed",94.8,100,97.7777777777778,93.4149397304725
"383","male","group C","master's degree","free/reduced","none",91.6,90.8433734939759,87.1111111111111,90.2563399251664
"384","female","group E","some high school","free/reduced","none",75.2,75.4216867469879,75.5555555555556,90.2833579019187
"385","female","group A","some high school","free/reduced","none",75.2,72.5301204819277,74.6666666666667,100
"386","female","group E","some college","standard","none",86.8,88.433734939759,88.8888888888889,69.9480381227705
"387","female","group E","bachelor's degree","standard","none",85.6,86.9879518072289,86.6666666666667,69.4651586303902
"388","female","group C","associate's degree","free/reduced","none",82.8,89.3975903614458,85.3333333333333,70.0897684207449
"389","female","group D","high school","standard","none",84.8,82.6506024096386,84,94.108449274494
"390","male","group D","master's degree","standard","none",89.2,85.5421686746988,88.8888888888889,79.3717283920177
"391","male","group E","some high school","free/reduced","completed",89.2,84.0963855421687,81.7777777777778,83.8340864759323
"392","female","group D","some college","standard","none",90.8,84.5783132530121,89.7777777777778,75.4329781163774
"393","male","group E","some college","standard","none",90.4,84.0963855421687,85.3333333333333,81.3544756690104
"394","male","group C","associate's degree","standard","completed",82.8,77.8313253012048,80.4444444444444,76.9795483147004
"395","female","group C","some high school","standard","completed",86,87.4698795180723,89.7777777777778,65.8728837099604
"396","male","group A","high school","free/reduced","none",79.2,73.4939759036145,73.7777777777778,77.9879242068422
"397","female","group B","high school","free/reduced","none",80,84.0963855421687,83.5555555555556,80.1107575208764
"398","female","group C","associate's degree","standard","none",94,94.6987951807229,97.7777777777778,58.2729152822117
"399","male","group B","some high school","standard","none",89.6,82.1686746987952,80.8888888888889,79.4173231821377
"400","male","group D","some high school","standard","none",84,80.2409638554217,79.5555555555556,76.0910456416003
"401","female","group C","some high school","standard","completed",83.6,77.8313253012048,85.3333333333333,98.7083528149436
"402","male","group A","some college","standard","none",81.2,72.5301204819277,74.6666666666667,76.7218736334567
"403","female","group A","some college","free/reduced","none",79.6,83.1325301204819,80,87.6180049275441
"404","female","group D","high school","standard","completed",95.2,99.5180722891566,100,59.9928907130356
"405","female","group C","high school","standard","none",81.6,80.2409638554217,83.1111111111111,83.7390015039568
"406","female","group C","some high school","standard","none",85.2,86.9879518072289,85.7777777777778,74.9358440352273
"407","male","group B","associate's degree","standard","completed",86,83.1325301204819,83.5555555555556,81.1667090246966
"408","female","group B","associate's degree","standard","none",92.8,90.3614457831325,89.7777777777778,77.1417849246308
"409","female","group D","high school","free/reduced","completed",80.8,79.2771084337349,80.4444444444444,93.2987143579004
"410","male","group D","associate's degree","standard","completed",94.8,92.289156626506,93.3333333333333,94.845317683617
"411","female","group D","master's degree","standard","completed",88,86.0240963855422,88.4444444444444,83.8556397173584
"412","male","group E","some college","standard","completed",93.6,91.8072289156626,90.2222222222222,89.0278397500764
"413","male","group D","associate's degree","standard","none",88.4,83.6144578313253,82.2222222222222,84.5974937308604
"414","male","group B","some high school","standard","completed",85.2,84.0963855421687,85.3333333333333,86.4426624210053
"415","female","group C","bachelor's degree","free/reduced","completed",80.4,86.5060240963855,90.6666666666667,81.7497585969735
"416","male","group E","high school","standard","none",93.6,86.9879518072289,86.2222222222222,84.0395153630015
"417","male","group C","bachelor's degree","standard","completed",88.4,87.4698795180723,85.7777777777778,96.262317080544
"418","male","group C","associate's degree","standard","none",89.6,86.9879518072289,85.3333333333333,87.2456249729237
"419","male","group D","some college","standard","none",87.2,80.2409638554217,83.1111111111111,79.6658491775332
"420","male","group E","high school","free/reduced","completed",82.8,78.7951807228916,79.5555555555556,71.7215776766389
"421","female","group C","associate's degree","free/reduced","completed",92.8,96.6265060240964,96.8888888888889,61.5471042774037
"422","female","group D","high school","standard","completed",82.8,79.7590361445783,84,93.75762730786
"423","female","group D","master's degree","free/reduced","completed",78.8,79.7590361445783,85.3333333333333,91.7612996506874
"424","female","group A","some high school","standard","completed",83.6,92.7710843373494,91.1111111111111,61.5016846010082
"425","male","group B","some college","free/reduced","none",76.4,70.6024096385542,70.6666666666667,77.8974819441464
"426","female","group C","some college","free/reduced","none",84.8,84.0963855421687,83.1111111111111,79.5973260322319
"427","male","group C","bachelor's degree","standard","none",94.4,91.8072289156626,93.7777777777778,93.3610874672192
"428","male","group C","some high school","free/reduced","none",87.6,86.0240963855422,84.4444444444444,90.238684904769
"429","male","group A","some high school","free/reduced","none",86,80.2409638554217,79.1111111111111,83.7173667167534
"430","male","group C","some high school","free/reduced","none",87.2,82.1686746987952,79.5555555555556,81.0841979355267
"431","male","group C","associate's degree","free/reduced","none",85.6,83.6144578313253,81.7777777777778,88.905014669037
"432","female","group C","high school","standard","none",84.4,86.5060240963855,86.6666666666667,80.3268510939228
"433","male","group C","high school","standard","none",84.4,78.7951807228916,80,76.8682184611855
"434","female","group A","some high school","free/reduced","none",78.8,80.2409638554217,77.7777777777778,87.9916968436923
"435","male","group C","some high school","standard","none",89.2,83.6144578313253,84.8888888888889,80.5173918439418
"436","male","group C","some college","free/reduced","completed",80,74.9397590361446,79.1111111111111,70.2266582792696
"437","male","group D","associate's degree","standard","none",90,84.5783132530121,84,84.2684135591443
"438","male","group D","associate's degree","free/reduced","none",90,83.6144578313253,88,85.6397049182574
"439","male","group C","high school","standard","none",88,78.7951807228916,78.2222222222222,86.3256881995348
"440","male","group D","some high school","standard","completed",95.6,94.2168674698795,92,95.1163178301086
"441","female","group C","some college","standard","completed",86.8,90.8433734939759,90.6666666666667,70.3441655471446
"442","female","group D","high school","standard","none",91.2,90.8433734939759,91.1111111111111,65.9442091223519
"443","female","group A","some high school","free/reduced","none",83.6,86.9879518072289,86.2222222222222,69.4993987762084
"444","female","group B","associate's degree","standard","none",89.2,91.8072289156626,89.3333333333333,65.95140686994
"445","male","group A","some high school","free/reduced","none",91.6,91.3253012048193,88,89.8364575525625
"446","female","group C","some high school","standard","completed",86.8,87.4698795180723,89.7777777777778,72.6336023844339
"447","male","group D","some college","free/reduced","none",87.6,83.6144578313253,82.2222222222222,86.1785081219455
"448","male","group C","high school","standard","completed",94.4,90.8433734939759,91.1111111111111,92.3721631557416
"449","male","group B","high school","standard","none",78.8,73.9759036144578,74.2222222222222,76.2033394868632
"450","male","group B","associate's degree","standard","none",92.4,86.9879518072289,87.5555555555556,84.8233694219605
"451","female","group C","some college","free/reduced","completed",85.6,92.7710843373494,93.3333333333333,63.225038021921
"452","female","group E","some college","standard","none",100,96.144578313253,98.6666666666667,58.2246615048601
"453","female","group C","associate's degree","free/reduced","none",86,88.9156626506024,88.4444444444444,81.0927439265751
"454","male","group C","some college","free/reduced","none",86,79.7590361445783,77.3333333333333,83.5814641448583
"455","female","group C","associate's degree","free/reduced","none",81.2,81.2048192771084,83.1111111111111,84.6443498472371
"456","male","group C","bachelor's degree","free/reduced","none",74.8,78.7951807228916,76.4444444444444,78.281085582539
"457","female","group D","bachelor's degree","standard","none",91.6,94.6987951807229,95.1111111111111,68.6969520873717
"458","male","group D","associate's degree","free/reduced","none",81.2,77.8313253012048,76.8888888888889,78.8459728997984
"459","female","group E","bachelor's degree","standard","none",100,100,100,62.7918558150454
"460","male","group B","high school","standard","completed",88.8,83.1325301204819,85.7777777777778,88.860220329603
"461","male","group C","bachelor's degree","free/reduced","none",81.2,79.7590361445783,80,71.5648799547591
"462","male","group B","some college","free/reduced","none",81.6,77.8313253012048,75.5555555555556,78.7888773294528
"463","female","group E","some college","standard","none",88.4,85.5421686746988,89.3333333333333,83.8310744862549
"464","female","group C","some college","free/reduced","none",90.8,95.1807228915663,96,62.6790468201157
"465","male","group A","bachelor's degree","standard","completed",90,79.7590361445783,83.1111111111111,87.4582704681424
"466","female","group C","some college","standard","none",93.6,93.7349397590361,96,60.3008204173925
"467","female","group D","associate's degree","free/reduced","none",70.4,66.7469879518072,72.4444444444444,99.9902139331126
"468","male","group A","high school","free/reduced","completed",88.8,84.0963855421687,84.4444444444444,82.4895495309509
"469","female","group A","high school","free/reduced","completed",90.8,94.2168674698795,93.3333333333333,67.3319604337748
"470","male","group C","some college","standard","none",96.4,87.4698795180723,89.3333333333333,92.3073491824405
"471","female","group C","associate's degree","standard","completed",93.2,92.7710843373494,95.5555555555556,62.2818853969023
"472","female","group C","high school","standard","none",85.2,85.0602409638554,88.4444444444444,83.4206634109363
"473","female","group C","associate's degree","standard","completed",87.2,93.2530120481928,92.8888888888889,70.5550894506199
"474","female","group D","some high school","standard","none",83.6,84.0963855421687,82.6666666666667,85.0297741719898
"475","female","group B","associate's degree","standard","completed",96,95.1807228915663,96,63.3094217754455
"476","female","group D","bachelor's degree","standard","completed",88.4,88.433734939759,92.4444444444444,82.305790723452
"477","male","group E","bachelor's degree","standard","completed",90.4,81.6867469879518,84.8888888888889,77.6742234687701
"478","male","group D","associate's degree","standard","none",92,84.5783132530121,87.5555555555556,88.1884401952265
"479","female","group D","master's degree","standard","none",82,82.6506024096386,86.6666666666667,87.8563149808033
"480","male","group E","associate's degree","standard","none",90.4,86.0240963855422,85.3333333333333,89.1840614835552
"481","male","group B","high school","standard","completed",89.2,86.0240963855422,85.7777777777778,91.7843127588792
"482","female","group D","associate's degree","free/reduced","none",80.8,80.2409638554217,80.4444444444444,83.9846075956139
"483","male","group C","some college","free/reduced","none",87.2,84.5783132530121,82.6666666666667,88.8860038181452
"484","male","group A","high school","standard","none",83.6,76.8674698795181,76,73.6500610204075
"485","female","group B","associate's degree","standard","none",79.6,76.8674698795181,79.5555555555556,95.09787119218
"486","male","group C","high school","standard","none",88,87.4698795180723,87.1111111111111,86.3791028568493
"487","male","group D","some college","free/reduced","none",84.4,74.4578313253012,80.4444444444444,74.0074972194516
"488","female","group C","associate's degree","free/reduced","none",84,87.9518072289157,88.4444444444444,72.4532242984432
"489","male","group B","some high school","standard","completed",85.6,77.3493975903614,80.8888888888889,81.5435069384136
"490","male","group A","associate's degree","free/reduced","completed",91.6,91.3253012048193,92,91.1170591207974
"491","female","group A","associate's degree","free/reduced","none",86,92.7710843373494,89.3333333333333,54.772808280706
"492","female","group C","associate's degree","standard","none",85.6,82.6506024096386,86.6666666666667,85.2870697694272
"493","female","group C","some college","standard","none",93.2,91.8072289156626,95.5555555555556,67.4430826400758
"494","female","group C","bachelor's degree","standard","none",92.4,94.2168674698795,95.5555555555556,64.1597616728229
"495","female","group B","high school","standard","none",81.6,82.6506024096386,85.7777777777778,83.2817432885391
"496","male","group D","high school","standard","completed",87.2,82.6506024096386,84.8888888888889,79.2962880737626
"497","female","group C","some college","standard","none",81.6,74.9397590361446,78.6666666666667,98.9967284527538
"498","female","group D","some college","free/reduced","completed",83.6,89.3975903614458,89.3333333333333,64.2760597834189
"499","female","group B","some high school","standard","none",86.4,85.0602409638554,85.7777777777778,76.9144568165995
"500","male","group E","some college","standard","none",90.4,86.0240963855422,87.5555555555556,84.226390284618
"501","female","group D","master's degree","standard","none",89.6,89.8795180722892,92,68.7268676761173
"502","female","group B","associate's degree","standard","completed",97.6,93.7349397590361,96.4444444444444,68.2096620685946
"503","male","group C","some college","free/reduced","none",85.2,81.2048192771084,79.5555555555556,88.5656780595664
"504","female","group E","associate's degree","standard","completed",98,94.6987951807229,96.4444444444444,67.5922960270637
"505","female","group D","master's degree","free/reduced","none",76,80.2409638554217,79.5555555555556,80.8069110124741
"506","female","group B","some high school","standard","none",92.8,91.3253012048193,91.1111111111111,68.4665767782442
"507","male","group A","high school","standard","none",87.2,85.5421686746988,84.8888888888889,81.5915038393975
"508","male","group B","bachelor's degree","free/reduced","none",82,80.2409638554217,79.5555555555556,78.1041854204525
"509","male","group C","master's degree","standard","none",91.6,89.3975903614458,89.7777777777778,96.8736311382718
"510","female","group C","bachelor's degree","standard","none",94.4,96.144578313253,94.2222222222222,61.5861010359536
"511","male","group D","some college","standard","none",90.4,86.0240963855422,88,74.3983835921092
"512","male","group A","some high school","standard","none",85.6,75.9036144578313,74.6666666666667,74.2897160362261
"513","male","group D","some high school","free/reduced","none",84.8,75.4216867469879,78.6666666666667,78.0089808738852
"514","female","group B","some high school","standard","completed",81.6,81.2048192771084,83.1111111111111,86.2650571032922
"515","female","group B","master's degree","free/reduced","completed",90.8,98.5542168674699,97.3333333333333,62.8008041707784
"516","female","group C","some high school","standard","completed",90.4,93.7349397590361,93.3333333333333,69.6681727330155
"517","female","group D","some college","standard","none",89.6,94.6987951807229,92.8888888888889,69.0627736001613
"518","female","group E","some college","standard","completed",86.4,87.4698795180723,88,74.0999304984709
"519","female","group D","some high school","standard","completed",86.4,89.3975903614458,90.2222222222222,72.4542345166856
"520","female","group B","high school","free/reduced","completed",86.8,89.3975903614458,90.6666666666667,63.7639969294824
"521","male","group D","some college","standard","none",88.4,75.4216867469879,78.6666666666667,72.3267800818817
"522","female","group C","associate's degree","standard","none",96.4,93.2530120481928,92.8888888888889,68.475492508957
"523","male","group D","bachelor's degree","standard","none",87.6,79.7590361445783,80.8888888888889,86.6797324570238
"524","male","group C","master's degree","free/reduced","none",81.6,80.2409638554217,77.7777777777778,78.5147383681184
"525","male","group C","high school","standard","completed",81.2,76.8674698795181,77.3333333333333,70.018474570639
"526","male","group E","some college","standard","none",87.2,80.7228915662651,81.7777777777778,78.8066440249594
"527","male","group C","some high school","free/reduced","completed",82.4,81.2048192771084,82.2222222222222,84.5433980716229
"528","female","group C","high school","free/reduced","none",74.4,77.3493975903614,74.6666666666667,99.9300074154097
"529","female","group D","bachelor's degree","free/reduced","none",71.6,71.566265060241,76.4444444444444,100
"530","female","group C","associate's degree","standard","none",84.8,87.4698795180723,86.6666666666667,72.1211290309024
"531","female","group C","associate's degree","standard","completed",87.2,84.0963855421687,88,84.6220613589634
"532","female","group C","some high school","standard","none",78.8,77.8313253012048,79.1111111111111,93.587507511595
"533","male","group E","associate's degree","standard","completed",84.8,81.2048192771084,81.3333333333333,78.0975965770838
"534","female","group E","associate's degree","standard","completed",91.6,94.2168674698795,97.3333333333333,73.7234791494926
"535","male","group B","high school","standard","completed",89.2,85.0602409638554,85.7777777777778,82.2251746877528
"536","female","group C","bachelor's degree","free/reduced","completed",86.4,91.8072289156626,92.4444444444444,69.342465991314
"537","male","group C","associate's degree","standard","completed",80.4,80.7228915662651,81.3333333333333,79.4840660028277
"538","female","group D","high school","standard","none",80.4,83.6144578313253,83.1111111111111,85.8742368366094
"539","male","group E","bachelor's degree","standard","completed",94,83.6144578313253,87.1111111111111,84.2244342207672
"540","male","group A","associate's degree","standard","completed",98.8,96.144578313253,93.7777777777778,96.5301967309356
"541","male","group C","high school","standard","completed",90,85.0602409638554,85.7777777777778,88.0051118223882
"542","male","group D","associate's degree","free/reduced","completed",91.6,91.3253012048193,91.1111111111111,84.5937078670984
"543","female","group C","associate's degree","standard","none",92.4,88.9156626506024,90.6666666666667,74.8305836606958
"544","female","group D","associate's degree","standard","none",92.8,97.5903614457831,95.1111111111111,64.0743586776164
"545","female","group D","master's degree","standard","none",85.6,82.1686746987952,84.8888888888889,86.7077743812393
"546","male","group E","some high school","free/reduced","completed",91.2,91.8072289156626,91.1111111111111,97.1438414374259
"547","female","group A","some high school","standard","completed",96.8,100,98.6666666666667,59.2538008576861
"548","male","group C","high school","standard","completed",88.8,84.0963855421687,84,85.0595697045523
"549","female","group C","high school","free/reduced","none",84.8,84.0963855421687,84,86.3094740904063
"550","male","group C","master's degree","standard","none",91.6,86.5060240963855,86.2222222222222,81.9548892521046
"551","male","group C","some high school","free/reduced","none",91.6,88.433734939759,84.4444444444444,88.0425908260666
"552","male","group B","bachelor's degree","free/reduced","completed",94.8,95.1807228915663,94.6666666666667,88.5085753238034
"553","female","group B","associate's degree","standard","none",76,74.9397590361446,77.7777777777778,95.8783455668632
"554","male","group D","some college","free/reduced","none",90.8,81.6867469879518,84,82.2582501073152
"555","male","group E","associate's degree","standard","none",81.2,73.4939759036145,73.3333333333333,73.3760523348095
"556","female","group C","some college","free/reduced","none",72.8,70.6024096385542,70.2222222222222,100
"557","female","group C","associate's degree","standard","completed",82,86.5060240963855,90.6666666666667,83.9098157130549
"558","male","group C","master's degree","free/reduced","none",84.4,84.0963855421687,84.8888888888889,81.3926027164483
"559","female","group B","associate's degree","free/reduced","none",81.2,85.5421686746988,86.6666666666667,69.1808112758819
"560","male","group D","some high school","standard","none",89.2,83.6144578313253,83.1111111111111,82.6090213346852
"561","female","group D","some college","standard","completed",89.6,87.9518072289157,90.6666666666667,75.9379631230535
"562","female","group C","some college","standard","none",85.2,87.4698795180723,88.4444444444444,78.0339177121263
"563","male","group C","bachelor's degree","standard","completed",98.4,95.1807228915663,96.4444444444444,93.039974754202
"564","female","group D","some college","free/reduced","completed",85.2,90.3614457831325,91.1111111111111,67.8804741686657
"565","male","group B","bachelor's degree","free/reduced","none",79.2,76.3855421686747,76,77.5442095793793
"566","male","group B","associate's degree","standard","none",79.2,72.5301204819277,75.5555555555556,69.9063691503264
"567","female","group E","bachelor's degree","free/reduced","completed",96.8,100,100,58.8719374476648
"568","female","group D","master's degree","free/reduced","completed",84.4,86.0240963855422,90.2222222222222,84.228533186423
"569","male","group B","high school","free/reduced","none",85.2,74.9397590361446,76.4444444444444,79.2186103978798
"570","male","group D","bachelor's degree","free/reduced","none",87.2,84.5783132530121,85.3333333333333,93.0693025036862
"571","male","group B","some college","standard","completed",88.4,87.9518072289157,86.6666666666667,79.5102798718615
"572","male","group A","bachelor's degree","standard","none",96.4,98.0722891566265,96.4444444444444,97.1133589450459
"573","female","group C","some college","standard","none",81.2,81.6867469879518,80.4444444444444,88.7357653735999
"574","female","group C","high school","free/reduced","completed",80,83.6144578313253,84,85.765933036743
"575","female","group E","high school","standard","none",89.6,90.8433734939759,87.1111111111111,67.7435693492495
"576","male","group A","associate's degree","free/reduced","completed",76,78.3132530120482,79.1111111111111,70.8552848863003
"577","male","group A","some college","standard","completed",84.4,76.3855421686747,78.6666666666667,75.6519583746126
"578","female","group B","high school","standard","none",92.4,95.6626506024096,95.1111111111111,70.7549568731223
"579","female","group B","some college","free/reduced","completed",79.2,78.7951807228916,81.3333333333333,93.4050147834316
"580","female","group D","master's degree","standard","none",81.2,81.2048192771084,85.7777777777778,94.8456030684108
"581","female","group D","some high school","standard","none",92.4,98.5542168674699,98.2222222222222,64.5437707325317
"582","female","group E","some high school","standard","none",90.8,89.8795180722892,91.1111111111111,65.9288582425057
"583","female","group D","bachelor's degree","free/reduced","none",85.2,86.9879518072289,90.2222222222222,79.3253535506868
"584","female","group D","associate's degree","standard","completed",89.2,87.9518072289157,91.1111111111111,63.4711906901653
"585","female","group D","some college","standard","none",87.6,88.9156626506024,89.7777777777778,77.0769986535385
"586","female","group C","associate's degree","standard","none",86,88.433734939759,89.3333333333333,70.5076235855898
"587","female","group A","high school","standard","none",82,86.9879518072289,88,70.4385114760424
"588","female","group C","bachelor's degree","free/reduced","none",77.6,82.1686746987952,83.1111111111111,74.9606640098137
"589","female","group C","some college","standard","none",81.6,82.6506024096386,84.4444444444444,89.7560455910524
"590","female","group A","some high school","standard","none",79.2,83.6144578313253,84.4444444444444,91.0525660686982
"591","male","group C","some college","free/reduced","none",83.2,79.2771084337349,79.5555555555556,82.4492556114104
"592","male","group A","some high school","standard","none",88.4,81.6867469879518,77.7777777777778,87.5501924046899
"593","male","group E","bachelor's degree","standard","none",87.2,84.5783132530121,84,90.0522606349076
"594","female","group E","high school","standard","none",89.6,88.433734939759,88,68.1249814643945
"595","female","group C","bachelor's degree","standard","completed",96.8,100,99.5555555555556,60.2462976094467
"596","female","group C","bachelor's degree","standard","completed",82.4,89.8795180722892,87.5555555555556,68.1704662930655
"597","male","group B","high school","free/reduced","none",72,63.3734939759036,62.2222222222222,66.6027810702996
"598","male","group A","some high school","standard","none",81.2,77.8313253012048,76.8888888888889,74.8923122186212
"599","female","group D","high school","standard","none",87.6,88.9156626506024,88,83.120319093973
"600","female","group D","some high school","standard","none",86,91.3253012048193,91.5555555555556,68.1764817380258
"601","female","group D","master's degree","standard","none",81.6,80.7228915662651,83.5555555555556,97.1235851712771
"602","female","group C","high school","standard","none",71.6,65.7831325301205,68.8888888888889,100
"603","female","group E","some college","standard","none",90.4,89.3975903614458,91.1111111111111,79.5869325752292
"604","male","group D","high school","free/reduced","none",84,79.2771084337349,78.2222222222222,78.0671478372605
"605","male","group D","master's degree","free/reduced","completed",93.6,94.6987951807229,95.5555555555556,94.6525762041744
"606","male","group C","some high school","standard","none",90,86.5060240963855,83.1111111111111,84.7325876720906
"607","female","group C","associate's degree","standard","none",94,92.289156626506,92,67.059768800014
"608","female","group C","master's degree","free/reduced","none",76,79.7590361445783,79.5555555555556,85.5788125552678
"609","female","group E","some college","standard","none",84.4,82.6506024096386,83.1111111111111,82.601500155839
"610","female","group B","associate's degree","standard","none",83.2,82.1686746987952,84.4444444444444,79.5882005467871
